name,code
Lamprey,LAM
Chestnut Lamprey,CHL
Silver Lamprey,SIL
American Brook Lamprey,ABL
Sea Lamprey ,SEL
Sturgeon,STG
Lake Sturgeon ,STG
Shovelnose Sturgeon,SLS
Paddlefish,PAH
Gar,GAR
Longnose Gar,LNG
Shortnose Gar,SNG
Bowfin,BOF
American Eel,AME
Skipjack Herring,SKJ
Alewife,ALW
Gizzard Shad,GIS
Goldeye,GOE
Mooneye,MOE
Salmon ,SAL
Trout,TRT
Tullibee (Cisco),TLC
Lake Whitefish,LKW
Bloater,BLT
Kiya,KIC
Blackfin Cisco,BFC
Shortnose Cisco,SNC
Shortjaw Cisco,SJC
Pink Salmon,PKS
Coho Salmon,COS
Rainbow Trout,RBT
Chinook Salmon ,CHS
Pygmy Whitefish,PGW
Round Whitefish,RDW
Atlantic Salmon,ATS
Brown Trout,BNT
Brook Trout ,BKT
Lake Trout ,LAT
Siscowet,SCT
Splake,SPT
Rainbow Smelt,RBS
Central  Mudminnow,CNM
Northern Pike ,NOP
Muskellunge,MUE
Tiger Muskellunge ,TME
Minnows,OTM
Largescale Stoneroller ,LSR
Goldfish,GOF
Redside Dace,RSD
Lake Chub,LKC
Common Carp,CAP
Ozark Minnow,OZM
Brassy Minnow,BRM
Silvery Minnow ,SLM
Speckled Chub,SPC
Silver Chub,SLC
Gravel Chub ,GRC
Hornyhead Chub,HHC
Golden Shiner,GOS
Shiners,SHI
Pallid Shiner,PLS
Pugnose Shiner,PGS
Emerald Shiner,EMS
River Shiner,RVS
Common Shiner,CSH
Bigmouth Shiner,BMS
Pugnose Minnow,PGM
