gear_id,gear
0,Standard gill nets
1,Standard trap nets
2,Survey seining
3,Special gill nets
4,Standard electrofishing
5,1/4-in trap nets
6,1/2-in trap nets
7,Special electrofishing
8,Special trotlines
9,Special trap nets
10,Deep gill nets
11,Shallow gill nets
12,Special seining
13,Open-water angling
14,Fall electrofishing
15,Double trap nets
16,Small-mesh gill nets
17,Misc. fish
18,Minnow traps
19,Musky trap nets
20,1-in trap nets
21,3/8-in trap nets
22,Standard trotlines
23,Standard trawling
24,Ice-fishing
25,Suspended gill nets
26,Backpack electrofishing
27,Ontario gill nets
28,Large-mesh gill nets
29,15-ft beach seine
30,50-ft beach seine
31,Single-frame trap nets
32,Short-term gill nets
33,Spawning trap
34,External source fish collection
35,Trammel nets
36,AFS Standard gill net
37,fine mesh forage gill net
38,Trapnet - Mini Fyke
39,Vertical Gillnet
